"","Hospital","Specialty","Rotation","Overall","R1","R2","R3","R4","Workload","Stress","Independence","Support","Daytime_workload","Call_workload","Lone_call","Post_call_half","Long_short_call","Call_room","Quarters","AL","Compensatory_leave","Interview","Leave_comments","Work_comments","Comments1","Comments2","class","Comments3","Education","ro"
"1","AHNH","MED",3,3,4,2,1,4,4,4,3,3,4,5,"Yes","Yes","Yes","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Leave arrangement is very flexible. You can assign annual leave together with compensatory leave prior to the beginning of the rotation.","AHNH = Phleb training","A place to practice blood taking, otherwise little educational value. 
Working lifestyle is decent on normal days, but call days are extremely tough, especially during winter surge.",NA,"M18",NA,NA,"MED AHNH"
"2","AHNH","MED",1,4,4,4,4,4,4,3,3,4,3,5,"Yes","Yes","Yes","Yes",4,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,"compulsory OPD shadowing, not actually seeing patients alone",NA,NA,"M18",NA,NA,"MED AHNH"
"3","AHNH","MED",4,2,2,2,2,2,5,3,3,3,5,5,"Yes","Yes","Yes","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Impossible",NA,"M18",NA,NA,"MED AHNH"
"4","AHNH","MED",2,2,3,3,2,2,4,3,3,3,3,5,"Yes","Yes","Yes","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Need to take official Leave",NA,"Need take VBG, ionized calcium (for some reasons, are ordered a lot by MO)","Daytime workload ok in general, except for a few wards. Best part is admission is not compulsory. Nurse nice. Can borrow Vscan from F1 (cardi) and F6 (respi) if needed. But when on call you become phlembotomist. Also frequent escort / crash call if you're black.",NA,"M18",NA,NA,"MED AHNH"
"5","AHNH","MED",4,1,2,2,1,1,5,4,4,4,5,5,"Yes","Yes","Yes","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Very chur, ABG machine, Call list is illegal, peak time can call every 2 days",NA,"M18",NA,NA,"MED AHNH"
"6","CMC","MED",2,4,4,4,2,1,4,4,3,3,5,5,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"chur but learn a lot!",NA,NA,"M18",NA,NA,"MED CMC"
"7","CMC","MED",1,5,4,4,3,2,4,3,5,5,4,5,"Yes","Yes","No","Yes",NA,"Allow arrangement among HO","Assigned by Department",NA,"Nurses most r good and conisderate
Good night food",NA,"Good educational value, learn alot and still got some life",NA,"M18",NA,NA,"MED CMC"
"8","CMC","MED",1,5,5,5,4,4,3,1,4,5,3,4,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","Usually start annual with post call Sunday + following sat and sun, total 7-8days",NA,"Good experience !!",NA,"M18",NA,NA,"MED CMC"
"9","CMC","MED",2,4,4,4,4,4,4,4,4,4,4,4,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Supportive mo, with assigned mentor to each ho",NA,"M18",NA,NA,"MED CMC"
"10","KWH","MED",1,5,5,3,3,5,1,2,3,4,3,4,"No","No","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"medical heaven, quality of life","Not much workload -> more free time to follow round / procedure","M18",NA,NA,"MED KWH"
